DeviceTag: nicolashumerus_l,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2023-06-12 11:03:02.574,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
22999096,0.1379,-0.6877,-0.1111,-0.7041,0.0422,0.0076,-0.1093,0
22999263,0.1378,-0.6877,-0.1110,-0.7041,-0.0189,-0.0059,-0.1222,0
22999429,0.1378,-0.6877,-0.1110,-0.7041,-0.0087,0.0059,-0.1125,0
22999596,0.1378,-0.6877,-0.1110,-0.7041,-0.0316,-0.0081,-0.0938,0
22999763,0.1378,-0.6877,-0.1110,-0.7041,-0.0020,-0.0156,-0.1061,0
22999929,0.1378,-0.6877,-0.1110,-0.7041,-0.0191,-0.0056,-0.1073,0
23000096,0.1378,-0.6877,-0.1110,-0.7041,0.0248,-0.0104,-0.0920,0
23000263,0.1378,-0.6877,-0.1109,-0.7041,0.0018,0.0103,-0.1185,0
23000429,0.1377,-0.6877,-0.1109,-0.7041,0.0227,-0.0019,-0.1088,0
23000596,0.1377,-0.6877,-0.1109,-0.7041,-0.0304,-0.0027,-0.1023,0
23000763,0.1377,-0.6877,-0.1109,-0.7041,0.0022,-0.0122,-0.1132,0
23000929,0.1377,-0.6877,-0.1109,-0.7041,-0.0039,0.0022,-0.1021,0
23001096,0.1377,-0.6877,-0.1109,-0.7041,0.0001,-0.0070,-0.1040,0
23001263,0.1377,-0.6877,-0.1109,-0.7041,-0.0283,-0.0056,-0.1011,0
23001429,0.1377,-0.6877,-0.1109,-0.7041,-0.0094,-0.0021,-0.0936,0
